"Title","Species","RDataPath","SourceUrl","Description","BiocVersion","Genome","SourceType","SourceVersion","Coordinate_1_based","DataProvider","Chemistry","RDataClass","DispatchClass","Maintainer","TaxonomyId"
"HumanBreastCancerIDC","Homo sapiens","TENxVisiumData/3.14/HumanBreastCancerIDC.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Breast_Cancer_Block_A_Section_1","Visium spatial gene expression dataset of Invasive Ductal Carcinoma breast tissue (two sections of 10 um thickness)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanBreastCancerILC","Homo sapiens","TENxVisiumData/3.14/HumanBreastCancerILC.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.2.0/Parent_Visium_Human_BreastCancer","Visium spatial gene expression dataset of Invasive Lobular Carcinoma breast tissue (one section of 10 um thickness; whole transcriptome analysis + targeted immunology panel)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanCerebellum","Homo sapiens","TENxVisiumData/3.14/HumanCerebellum.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.2.0/Parent_Visium_Human_Cerebellum","Visium spatial gene expression dataset of human cerebellum tissue (one section of 10 um thickness; whole transcriptome analysis + targeted gene signature panel)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanColorectalCancer","Homo sapiens","TENxVisiumData/3.14/HumanColorectalCancer.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.2.0/Parent_Visium_Human_ColorectalCancer","Visium spatial gene expression dataset of Invasive Adenocarcinoma large intestine tissue (one section of 10 um thickness; whole transcriptome analysis + targeted neuroscience panel)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanGlioblastoma","Homo sapiens","TENxVisiumData/3.14/HumanGlioblastoma.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.2.0/Parent_Visium_Human_Glioblastoma","Visium spatial gene expression dataset of human glioblastoma multiforme tissue (one section of 10 um thickness; whole transcriptome analysis + targeted pan-cancer panel)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanHeart","Homo sapiens","TENxVisiumData/3.14/HumanHeart.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Human_Heart","Visium spatial gene expression dataset of human heart tissue (one section of 10 um thickness)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanLymphNode","Homo sapiens","TENxVisiumData/3.14/HumanLymphNode.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Human_Lymph_Node","Visium spatial gene expression dataset or human lymph node tissue (one section of 10 um thickness)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanOvarianCancer","Homo sapiens","TENxVisiumData/3.14/HumanOvarianCancer.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.2.0/Parent_Visium_Human_OvarianCancer","Visium spatial gene expression dataset of ovarian Endometrial Adenocarcinoma tissue (one section of 10 um thickness; whole transcriptome analysis + targeted immunology panel + targeted pan-cancer panel)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"HumanSpinalCord","Homo sapiens","TENxVisiumData/3.14/HumanSpinalCord.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.2.0/Parent_Visium_Human_SpinalCord","Visium spatial gene expression dataset of human spinal cord tissue (one section of 10 um thickness; whole transcriptome analysis + targeted neuroscience panel)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","9606"
"MouseBrainCoronal","Mus musculus","TENxVisiumData/3.14/MouseBrainCoronal.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Adult_Mouse_Brain","Visium spatial gene expression dataset of mouse brain tissue (one section of 10 um thickness; slice of the coronal plane)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","10090"
"MouseBrainSagittalPosterior","Mus musculus","TENxVisiumData/3.14/MouseBrainSagittalPosterior.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Mouse_Brain_Sagittal_Posterior","Visium spatial gene expression dataset of mouse brain tissue (two sections of 10 um thickness; sagittal slice of the posterior)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","10090"
"MouseBrainSagittalAnterior","Mus musculus","TENxVisiumData/3.14/MouseBrainSagittalAnterior.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Mouse_Brain_Sagittal_Anterior","Visium spatial gene expression dataset of mouse brain tissue (two sections of 10 um thickness; sagittal slice of the anterior","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","10090"
"MouseKidneyCoronal","Mus musculus","TENxVisiumData/3.14/MouseKidneyCoronal.rda","https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Mouse_Kidney","Visium spatial gene expression dataset of mouse kidney tissue (one section of 10 um thickness)","3.14",NA,"tar.gz",NA,TRUE,"10X Genomics","Chromium_v1","SpatialExperiment","Rda","Helena L. Crowell <helena@crowell.eu>","10090"
